month_start,available_rooms,occupancy_rate,revenue,net_profit,pm25,no2,precipitation,capacity_days,fiscal_days,air_days,weather_days
2025-01-01,356.8551747311828,59.774588119205916,223.32008736559123,127.36490591397835,20.97366935483871,26.773941532258103,0.12150336021505403,31,31,31,31
2025-02-01,349.7421875,64.36700780526265,240.71040550595248,145.91995535714275,21.097496279761895,26.626257440476166,0.12188616071428562,28,28,28,28
2025-03-01,352.63608870967744,71.39195613208115,271.28860215053777,177.01031249999994,21.103998655913923,26.609532930107495,0.11898454301075273,31,31,31,31
2025-04-01,354.88715277777777,77.43882670064853,291.9718159722227,203.67279513888874,21.115434027777745,26.47967013888889,0.11633472222222224,30,30,30,30
2025-05-01,354.11525537634407,81.27597954625723,313.53512096774125,220.40839381720477,21.201213037634407,26.53159274193544,0.11934274193548385,31,31,31,31
2025-06-01,353.903125,82.62384689180237,328.7543993055559,232.98854513888872,20.791329861111116,26.61338888888891,0.11991041666666666,30,30,30,30
2025-07-01,357.650873655914,81.58676198904264,311.4582291666664,215.62995967741904,20.839032258064503,26.576481854838715,0.12035215053763447,31,31,31,31
2025-08-01,345.5090725806452,79.10400060028968,303.26764112903163,207.72661626344106,21.056142473118257,26.79761760752683,0.11377956989247301,31,31,31,31
2025-09-01,351.18125,72.32003985349382,270.9418020833339,177.9948229166667,21.13833680555558,26.7171145833334,0.12010624999999996,30,30,30,30
2025-10-01,348.60752688172045,66.10277197596493,244.1291498655914,149.41612231182813,21.134852150537622,26.16641129032261,0.1161256720430108,31,31,31,31
2025-11-01,348.0864583333333,61.30944874287456,228.02948611111154,133.0688541666667,21.16418402777775,26.65005902777775,0.11853819444444438,30,30,30,30
2025-12-01,350.64146505376345,57.701136438419134,220.1998790322587,127.31223454301075,20.883282930107477,26.127281586021468,0.11357325268817198,31,31,31,31
